open,high,low,volume,amount,close
44.200001,44.299999,43.599998,38499635,43.950001,43.950001
43.950001,44.950001,43.849998,60764292,44.150002,44.150002
44.150002,44.75,43.349998,71836182,44.299999,44.299999
44.349998,46.700001,44.150002,172405604,45.849998,45.849998
45.799999,47.799999,45.549999,172492290,47.599998,47.599998
47.849998,48.400002,47,123475904,48.200001,48.200001
48.549999,50.900002,48.299999,252150630,50.349998,50.349998
50.549999,51.200001,50.299999,104180912,50.849998,50.849998
51.5,55.650002,51.25,374685764,53.599998,53.599998
54.349998,54.349998,52.700001,124868210,53.400002,53.400002
53.450001,54.099998,52.150002,110088137,52.5,52.5
52.5,52.900002,50.900002,72720109,51.299999,51.299999
51.75,53.599998,51.299999,106625627,53.25,53.25
53.299999,54.25,52.75,96833859,54,54
54.299999,55.349998,53.799999,99638073,55.150002,55.150002
55.150002,57.349998,54.599998,225788957,55.450001,55.450001
55.799999,56.349998,54.049999,111584074,55.450001,55.450001
